Contractor,Company,RoofSize,RoofType,City,State,Date,lat,lng
Joseph Cantu,"Mooney, Gregory and Massey",39441,Asphalt,Rodriguezstad,MS,2023-08-03,39.9157,-100.038849
Keith Mendoza,"Anderson, Ortiz and Phillips",25453,TPO,North Charlesville,FM,2024-08-05,42.161214,-93.708638
Kimberly Cannon,"Figueroa, Benson and Simmons",39433,Metal,East Kellybury,NM,2024-01-01,28.72754,-109.126357
Mark Hanna,Stanley-Edwards,5291,Asphalt,Jonathanmouth,WA,2024-01-29,27.719696,-78.445641
Ashley Austin,Jackson Ltd,25248,Metal,Mortonbury,AR,2024-03-02,43.198039,-90.634436
Lindsay Davis,Lewis-Miller,9672,Metal,Vincenthaven,IN,2024-12-13,31.657709,-94.548684
Marissa Garcia,"Smith, Pena and Gaines",48725,TPO,Lake Michaelmouth,NY,2024-02-21,44.067737,-71.52282
John Ortiz,"Stuart, Tanner and Kidd",37257,Asphalt,Castillochester,NY,2025-02-05,39.825226,-121.202387
Christina Reed,King PLC,38434,Foam,West Kimberlyside,WI,2024-12-29,29.540758,-109.741429
Scott Edwards,Reid Ltd,42151,Metal,Steventown,FL,2024-03-20,39.684362,-71.572624
Shelby Torres,Smith Ltd,43485,Foam,Brendahaven,WV,2025-02-09,48.762644,-87.922106
Thomas Hall,"Smith, Taylor and Hall",38349,Foam,Anneview,MT,2023-10-12,26.756085,-112.64786
Angela Burke,"Glenn, Curtis and Holloway",41178,Asphalt,South Miguel,NC,2024-07-08,27.441955,-88.295684
Sharon Smith,Barajas Inc,36188,Metal,Port Heather,MO,2023-07-10,28.801941,-89.303103
Jason Herrera,Brooks-Mcpherson,7085,Foam,Johnsonhaven,AL,2024-09-20,43.823817,-103.217799
Emily Barajas,Page Inc,39458,Foam,North Mauricefort,AK,2023-10-31,38.956827,-86.620772
Brittney Reid,Gutierrez-Hutchinson,15121,Metal,Lake Josephfurt,AK,2023-09-04,27.057687,-114.308594
Danielle Shepard,"Medina, Maldonado and Vasquez",17158,TPO,Jeffborough,IL,2025-02-06,25.387674,-110.959897
Sara Torres,Perkins and Sons,43539,TPO,Jonestown,PW,2023-09-20,31.882046,-92.142655
James Barry,Erickson Group,26984,Metal,Whitetown,WY,2025-03-31,42.551769,-111.380708
Alan Romero,Carrillo and Sons,5915,Foam,Floresburgh,MI,2024-06-24,31.742375,-122.539467
Keith Curry,"Valdez, Lara and Freeman",5694,TPO,Jasonfort,NJ,2023-12-14,26.049246,-108.396585
Ronald Hart,"Mack, Potter and Beltran",2123,Asphalt,South Jessicahaven,PR,2025-03-18,28.93226,-87.907166
Shelley Fuentes,Lloyd and Sons,27291,Metal,New Aaronville,WV,2023-05-25,40.365034,-120.494786
Rebecca Henry,Sampson Ltd,11182,TPO,Port Aliciamouth,CT,2023-06-23,38.700047,-73.489505
Joy Young,"Ball, Dalton and Lewis",22027,TPO,Lake Scott,CA,2024-08-11,43.091089,-80.509336
Jessica Mitchell,White Ltd,8026,Asphalt,Kleinbury,AL,2023-06-28,30.362581,-107.865869
David Serrano,"Berger, Rogers and Russell",27259,TPO,Royville,MO,2025-02-04,36.19053,-92.682899
Douglas Roberson,Vega PLC,42344,TPO,Deborahborough,NE,2024-03-14,29.953145,-99.039285
Jorge Jordan,Salinas-Jones,10259,Metal,Gabrieltown,IA,2023-04-29,37.733734,-112.973157
Jessica Berger,"Ramirez, Mason and Diaz",48128,Foam,South Joshua,TX,2023-06-17,31.172367,-97.378254
Destiny Carter,"Morales, Owens and Adams",4505,Foam,East Chelsea,IA,2025-01-02,31.476768,-74.437297
Stephanie Farmer,Cohen-Wright,27867,Asphalt,New Cameron,IN,2024-01-15,28.114761,-113.727799
Louis Underwood,Forbes PLC,17103,TPO,Johnathanside,UT,2023-09-30,47.73149,-85.505073
Scott Harrell,"Juarez, Myers and Watson",35995,Metal,New Markport,TX,2024-12-18,25.066405,-89.352813
Mrs. Victoria Jones DDS,Brown-Hall,21550,Foam,Deborahchester,OR,2023-12-29,47.448748,-93.556863
Darrell Miller,Butler-Anderson,20450,TPO,Lake Kaylamouth,OR,2023-09-06,33.873444,-84.264393
Crystal Johnson,"Bird, Pacheco and Barnes",29775,Asphalt,West Christopherland,NH,2024-10-02,28.17603,-118.999555
Aimee Lee,"Doyle, Wilson and Sharp",18253,TPO,West Michaelfurt,MH,2024-06-30,47.939042,-81.198689
Sara Arnold,"Anderson, Arroyo and Duran",41455,Foam,Jamesside,MT,2023-10-04,25.004297,-98.506492
Lisa Hicks,Hurley-Howard,36319,TPO,Roberthaven,MH,2024-11-30,36.74513,-115.002125
Vincent Jones,Herring Ltd,22639,Asphalt,North Sabrinaview,NV,2024-03-01,41.128179,-69.224582
Shaun Nolan MD,Thompson-Booker,25195,Foam,Lake Rebecca,MO,2024-03-04,30.680582,-81.185919
Evelyn Whitehead,Small-Cole,43344,Metal,Adrianbury,TX,2024-01-24,39.308702,-109.376863
Lori Gonzalez,"Lopez, Pace and Cortez",42166,Metal,Woodardstad,VI,2024-11-25,46.256968,-68.241247
Robert Hamilton,Gray Group,25443,Asphalt,Lake Jessicashire,RI,2024-04-30,37.990655,-101.007963
Mary Cabrera,Henderson PLC,8857,Asphalt,West Josephton,MP,2023-10-31,29.743833,-90.992698
Maurice Jackson,Hall-Calderon,16582,Asphalt,Paulaside,ID,2023-08-12,43.530084,-79.003102
Mr. Christian Wu,Sullivan-Arnold,41189,TPO,New Ethan,ID,2025-02-15,30.673912,-99.002562
Sandra Collins,Dyer PLC,28128,Asphalt,East Robertside,FM,2023-07-13,37.294299,-84.807336
Regina Montgomery,Adkins PLC,33843,Metal,Wagnerstad,CO,2024-06-14,39.962923,-119.293726
Anna Hoffman,"Taylor, Hutchinson and Fowler",4682,TPO,South Daniel,NE,2023-11-26,43.844041,-105.925352
Andrew Williams,"Thomas, Herrera and Smith",7208,Foam,Shannonfort,MT,2024-09-26,37.994843,-84.169688
Andrew Brennan,French-Smith,42645,TPO,North Erica,AZ,2024-11-24,33.555463,-88.219312
Kristin Mcclure,Moore Ltd,4893,Asphalt,Margaretport,WY,2023-11-11,25.52955,-87.682253
Jamie Myers,Coleman Ltd,9484,Metal,Michaelstad,OH,2024-12-25,29.57944,-109.101399
Brandy Floyd,Morris Group,4142,Foam,Hernandezberg,NY,2025-01-11,47.57301,-73.530547
Michael Edwards,Cisneros PLC,7297,Foam,Ayalaside,ND,2025-02-07,46.26843,-80.022256
James Pierce,"Miller, Bailey and Humphrey",39875,Asphalt,Stephanieshire,MA,2023-08-27,31.008396,-92.223643
Erik Henry,Stewart-Rogers,21922,Metal,Calvinbury,WA,2025-03-05,34.829762,-96.123139
Mr. Justin Scott,Perez-Barrett,18627,TPO,North Sherry,MD,2024-12-13,42.61276,-121.494247
Joshua Boone,Mathis-Williams,26624,Metal,Stephenshire,NH,2023-06-09,28.678884,-123.074937
Sean Thomas,Hernandez PLC,1789,TPO,New Thomas,UT,2023-07-05,26.140132,-78.153368
Bob Gonzalez,"Barber, Perez and Cameron",29102,Asphalt,Donnastad,VT,2024-12-13,43.958583,-88.039864
Steven Snyder,"Garcia, Kerr and Carey",12894,Asphalt,Nicholasside,AK,2023-07-07,43.406779,-118.90458
Scott Coffey,Johnson-Horton,36620,Asphalt,Kelseystad,KY,2024-05-09,47.737145,-91.98736
Holly Reynolds DDS,"Thompson, Fowler and Hahn",41237,Metal,East Darlene,OH,2024-11-06,34.560792,-95.637797
Joshua Allison,"Woodward, Duncan and Haynes",48390,TPO,South Kevin,MD,2023-07-02,43.645256,-96.163071
Megan Sampson,Estrada PLC,20681,Metal,Charlesmouth,WA,2024-06-06,45.252891,-85.998192
Scott Rogers,Rogers-Phillips,10026,Metal,Watsonshire,IN,2023-05-01,35.179572,-111.198991
Cory Patterson,Pham-Mccarthy,2068,Metal,Lake Jenniferfurt,IA,2023-07-03,34.192525,-78.333109
Mary Gonzales,Martinez-Wyatt,8195,Foam,Riverafurt,NC,2023-07-29,33.125889,-80.446263
Erica Oliver,"Watkins, Singleton and Griffith",34107,Foam,North Ashley,GU,2023-07-31,47.022249,-82.704533
Scott Hill,Jones-Anderson,14199,Foam,Wallacechester,MS,2023-06-01,32.046268,-68.654928
Richard Hayes,"Kelly, Rodriguez and Miller",7804,Asphalt,Lake Kyletown,SD,2023-06-11,35.538143,-91.48579
Diane Butler,Lee PLC,42318,TPO,Port Christopher,AK,2024-05-23,36.645134,-111.276023
Robert Holder,"Porter, Baker and Holmes",23836,Asphalt,Port David,MD,2023-11-22,28.358372,-116.411263
Pamela Collins,Harris-Bennett,19119,Foam,Vanessastad,UT,2024-09-26,40.14779,-83.774909
Cathy Thompson,Scott-Frazier,40694,Asphalt,Bairdbury,MA,2025-01-02,29.296737,-84.252018
Christine Smith,Lee PLC,31908,Metal,North Autumn,WI,2024-12-28,48.412712,-79.492022
Ryan Conley,"Simpson, Choi and Padilla",30249,Foam,Jonesport,WV,2023-11-08,32.969201,-97.236802
Andrew Underwood,Washington Ltd,3402,TPO,Julieberg,NV,2024-07-24,41.598283,-121.599827
Robin Jones,Simpson-Ray,7937,Metal,East Edwardstad,AK,2023-07-07,46.899901,-71.219265
Gregory Rodriguez,Bennett-Decker,14184,Asphalt,Carlafort,MI,2024-12-02,45.579526,-76.847139
Joe Lee,Allen and Sons,18246,TPO,West John,IN,2023-11-30,38.2536,-79.027058
Anthony Jones,"Hernandez, Mathews and Cruz",19952,Metal,New Sharon,MP,2024-09-23,34.712406,-81.842626
Karen Garcia,Martinez-Cole,45676,Asphalt,Lake Rachel,NY,2023-11-09,37.219244,-97.578717
Brad Lewis,"King, Moreno and Kramer",18104,Asphalt,East Lisaton,IL,2023-09-16,44.872976,-90.645861
Sean Leblanc,"Gillespie, Peterson and Anderson",49965,Metal,Johnmouth,GU,2025-02-28,48.016878,-111.738845
Sarah Velez,"Whitaker, Stokes and Palmer",26673,TPO,Sethborough,TN,2024-01-19,42.862967,-83.677353
Jacob Morales,Wood Group,40909,Asphalt,Lake Melinda,OH,2023-09-09,32.009375,-112.700676
William Monroe,Roach LLC,28386,Asphalt,Thompsonburgh,PW,2023-11-15,25.307639,-119.911596
Jill Pham,Gonzalez PLC,25059,Metal,Lake Charles,SC,2023-09-11,47.308088,-92.480964
Robert Sanders,Wallace-Marshall,32065,Asphalt,Obrienfort,IL,2023-12-05,27.18855,-93.46786
Steven Pitts,"Skinner, Martin and Baker",10645,TPO,Port Manuel,FL,2025-04-10,40.288924,-80.560548
Shari Carter,Bates-York,46350,TPO,New Brian,KS,2023-12-28,28.218662,-113.921252
Robert Miller,"Lewis, Krueger and Tran",5620,TPO,New Jessicaberg,AS,2023-10-28,39.277771,-70.02232
Brooke Moore,"Jacobs, Hogan and Sanchez",13331,TPO,Williamsshire,WA,2023-09-16,46.312024,-111.133238
Thomas Jordan,Hill Inc,36305,Asphalt,Carneyfort,NE,2025-04-07,25.499766,-93.618603
Mackenzie Adams,"Sandoval, Abbott and Delacruz",1201,TPO,Glennhaven,AR,2025-03-01,36.510095,-68.262845
Craig Lamb,Aguilar and Sons,49497,Foam,Thomasfort,NE,2025-01-13,31.399088,-116.662972
Laura Marks,Brooks-Callahan,30576,Metal,South Alyssa,AZ,2025-01-16,33.353899,-105.208988
Donna Brown,Davis Ltd,33972,TPO,Georgeland,AZ,2023-12-07,42.6982,-90.486222
Melissa Hayden,Porter and Sons,36907,Asphalt,Michaelview,IA,2023-07-20,42.047239,-109.751613
Sarah Fisher,"Mueller, Adams and Elliott",49824,Asphalt,Millerton,GU,2024-09-04,25.731226,-93.984004
Christopher Carr,"Bennett, Smith and Garcia",14139,Foam,Pattonberg,GU,2025-02-21,37.811032,-70.078841
Kyle Taylor,Rice Inc,9730,Metal,East Christina,GA,2023-07-16,46.96945,-74.089709
Jacqueline Walker,Rojas-James,39414,Asphalt,Haynestown,WA,2024-11-04,47.75695,-85.586293
Brian Ho,"Hunter, Rose and Holloway",18933,Metal,New Christina,AR,2024-05-13,27.236443,-83.570229
Alexander Lee,Clay Group,3135,Asphalt,New Johnshire,SC,2024-02-01,29.459715,-110.346931
Matthew Sparks,Perkins-Le,42141,Asphalt,West Melissa,GU,2025-01-08,38.918789,-121.796779
Gabriel Potts,Walker and Sons,35405,Asphalt,Vickieburgh,IN,2024-02-17,25.314447,-122.089871
Gloria Campbell,"Barnes, Blake and Eaton",23789,Asphalt,East Evan,NE,2023-10-06,35.492006,-117.641801
David Torres,"Hernandez, Brewer and Smith",45073,Foam,Port Travisville,DC,2023-05-19,45.246277,-74.194819
Christopher Jones,"Copeland, Elliott and Olson",25101,TPO,North Desiree,MN,2025-01-27,42.58123,-117.488643
Jason Jones Jr.,Anderson Inc,43136,Asphalt,Lake Kristinefort,RI,2023-08-08,45.185199,-70.384461
Jesus Williams,Glenn-Hernandez,4078,Metal,Kristopherberg,AK,2025-03-06,34.131239,-74.676075
Kevin Harris,Allison LLC,32788,Foam,Lake Paigefort,MD,2025-01-14,40.519537,-94.323056
Ashley Mccullough,Cochran and Sons,2660,TPO,Jarvisside,HI,2023-08-29,44.685173,-111.291432
Seth Phillips,West-Conway,38258,Foam,Baileyview,FL,2025-04-11,43.9795,-113.467651
Amanda Ford,"Turner, Griffin and Garcia",48958,TPO,Port Jordan,MS,2023-05-10,25.366663,-79.054561
Michael Harris,"Robinson, Davis and Roberson",38136,TPO,East Scotttown,OH,2023-07-25,47.489518,-81.69406
Rhonda Watkins,Owen-Odonnell,30484,Metal,North Maryhaven,DC,2023-12-27,36.681767,-98.528689
Michael Dixon,Myers-Curtis,20182,Foam,Port Eric,ID,2023-10-08,36.45641,-120.617131
James Harvey,"Lawrence, Parks and Scott",46807,Foam,Lutzton,NC,2023-04-30,36.712936,-78.259679
David Bowers,"Miller, Lewis and Martinez",10765,Metal,Desireebury,MO,2024-10-18,38.947267,-113.71613
Jeffrey Smith,Peterson PLC,31067,Asphalt,Bonniestad,WI,2023-06-19,29.361452,-76.717719
Michael Jones,"Smith, Atkinson and Myers",49861,Foam,West Emilyville,DE,2025-01-30,44.897192,-80.816332
Kimberly Velasquez,Ward-Wagner,11402,Metal,East Nicholas,DE,2023-04-22,40.890735,-111.035723
Kelly Peterson,Obrien Ltd,6577,Asphalt,North Katherineview,PA,2023-06-12,46.894429,-103.052317
Jeffrey Berry,Meyer Group,43702,TPO,Serranoborough,ME,2024-01-08,37.329921,-100.93188
Marc Church IV,"Lopez, Ruiz and Rice",34171,Foam,Samanthastad,CA,2024-12-29,25.8443,-75.546211
Mr. James Gonzalez,Riley-Collins,3751,Foam,New Kimberly,IN,2024-02-27,48.125895,-115.047066
Mr. Joseph Green,"Griffin, Gilbert and Diaz",11561,Asphalt,Reevesburgh,AZ,2023-10-03,34.822299,-118.06228
Gregory Todd,Ferguson-Hunter,42407,Foam,West Jessicabury,GA,2024-10-23,45.571544,-70.250156
Tara Johnson,Burns-Rasmussen,21816,TPO,South Ericton,CT,2023-10-07,30.23638,-74.618705
Kayla Morgan,Cox-Williams,30308,Foam,Castillotown,DC,2025-02-17,26.183014,-110.266249
Bradley Hall,"Villarreal, Wilkins and Weber",28830,Metal,Lake James,ME,2024-05-22,32.368956,-115.100838
Lisa Davis,Turner Inc,47727,Asphalt,Keithfort,CA,2024-06-05,48.588476,-97.664606
Barbara Ruiz,"Callahan, Saunders and Gray",16275,Metal,Lake Colinstad,PA,2025-01-27,33.946086,-116.97047
Jesse Rodriguez,"Steele, Rodriguez and Ellis",10136,Metal,Sandraland,NH,2025-01-31,43.455608,-98.272732
Steven Schaefer,Smith Inc,30409,TPO,Wongfort,NM,2024-07-07,41.81497,-116.183966
Robin Ward,"Kim, Clark and Taylor",44401,Metal,Port Marcus,TX,2023-10-30,30.995538,-88.163302
Jorge Lopez,"Hall, Bennett and Stanley",37827,Asphalt,Lake Austinburgh,LA,2024-06-12,26.669134,-114.101902
Brittany Martinez,Leon-Lee,2833,Metal,East Scottport,PA,2024-01-26,37.363429,-120.736241
Michael Andrade DDS,Cruz-Nelson,37653,TPO,Millerview,TN,2025-03-23,47.315568,-99.572457
Carl Williams,Whitaker-Duran,25945,Metal,Michaelville,GU,2023-08-05,45.070205,-114.857232
Robert Campbell,"Gray, Krause and Stone",2769,Asphalt,South David,IA,2023-06-14,32.055105,-113.158557
Charles Blanchard,"Harris, Kelley and Armstrong",19502,Metal,Lake Justinville,MO,2023-04-18,37.115295,-95.464537
Robert Hernandez,"Mullen, Moore and Mitchell",13606,Asphalt,New Joshua,NY,2024-02-08,32.836567,-104.089268
Michael Guerrero,Smith PLC,29263,Asphalt,Port Valerie,FL,2024-11-13,30.321757,-109.47019
Jacob Carrillo,"Duncan, Perez and Morrison",12592,Foam,Smithport,IN,2023-06-09,25.463182,-81.730046
William Jones,Miller Group,37193,Metal,Port Michaelville,PW,2025-03-25,33.944431,-77.033564
Jeffery Gordon,Brown-Roy,21475,TPO,Reginaldbury,CT,2025-04-11,41.799451,-68.102516
Mark Jones,Hawkins Group,22357,Metal,West Kennethshire,UT,2024-10-30,47.550251,-81.799942
Albert Lewis,Cummings-Blevins,36812,TPO,Port John,ND,2024-03-14,43.001736,-120.820411
Briana Curry,"Thompson, Ramsey and Williams",3123,Asphalt,South Adriantown,FL,2024-03-20,40.023767,-101.354095
Lynn Larson,"Powell, Anderson and Freeman",21039,TPO,Dillonton,WY,2024-10-31,31.87133,-76.761107
Eric Williams,Pierce Inc,22625,Asphalt,Millerstad,NV,2024-03-10,36.316455,-76.650421
Eric Joyce,"Rodriguez, Fisher and Cruz",42100,Foam,Richardton,IN,2023-12-21,25.262347,-84.31786
David Drake,Steele-Wood,37368,Asphalt,Williamschester,GA,2023-05-22,35.406971,-94.261555
Janice Guerrero,"Haney, Mckay and Green",34327,Asphalt,Lake Aaron,VA,2023-12-18,45.444537,-89.980796
Debra Mitchell,West-Juarez,28107,TPO,South Jessicaside,MI,2024-04-08,28.635612,-119.627081
Chase Brown,Arroyo-Johnson,18369,Foam,Sherrifort,MI,2024-06-06,39.365098,-102.809977
Paul Patton,Bell Ltd,38881,Metal,West James,TX,2023-07-18,27.355918,-109.173521
Alicia Miller,"Price, Chapman and Wilson",19687,Asphalt,Fernandezland,TX,2023-08-25,33.049345,-95.998944
Ian Johnson DVM,"Woods, Lawson and Knox",39956,Metal,Colinbury,DE,2025-02-25,25.825764,-108.374139
Katherine Murray,Bradford and Sons,22559,TPO,North Ricardo,AZ,2024-11-05,39.188659,-110.969036
Pamela Garrett,"Cox, Delacruz and Grant",40164,Asphalt,Bryantborough,DE,2024-04-21,27.971543,-77.306943
Carlos Fowler,Howell-Thomas,20975,TPO,New Heatherberg,AR,2024-04-26,45.704495,-89.264325
Michelle Gordon,"Valentine, Lane and Hill",12793,Foam,New Robert,NC,2025-02-19,32.752055,-112.329804
Stephanie Ortiz,Mathis-Booth,31068,Asphalt,Fernandezview,FL,2024-07-07,35.100874,-87.369677
Nathaniel Hart,Walker-Trujillo,49944,Foam,North Jasonside,NY,2023-04-28,28.810511,-118.287954
Lisa Miller,Choi-Barker,19171,TPO,Lake Jessica,NV,2024-03-25,35.841187,-113.932444
Ann Freeman,Booker-Scott,13879,Metal,Nathanfurt,LA,2023-05-08,41.777311,-115.869842
Andrea Fowler,Leonard and Sons,38245,Asphalt,Gonzalesland,PR,2025-02-25,25.352206,-108.577338
Erika Moore,Padilla PLC,28932,TPO,New Sarachester,MI,2023-07-28,33.541323,-78.317554
Zachary Case,"Clark, Jimenez and Price",26589,Asphalt,Russellmouth,IN,2023-11-26,48.848322,-74.77061
Donald Burch,Smith Group,30796,Asphalt,Maryport,MD,2024-03-13,37.239974,-106.68694
Edward Myers,Horn-Small,43829,TPO,Normaville,NY,2024-09-18,26.919277,-93.113551
Larry Harris,Hamilton LLC,12195,Foam,Hughesbury,NC,2024-12-18,48.381057,-93.941863
Joe Roberts,"Jenkins, Harris and Bell",45701,Foam,Hillport,AR,2024-05-26,26.339834,-104.063484
Leslie Perez,Flores-Allen,37417,Metal,Carlosborough,SD,2025-03-08,28.059425,-94.764731
Timothy Williams,"Flores, Smith and Simmons",20734,Foam,Petersland,CT,2023-11-04,31.563106,-85.008274
Kimberly Garrett,"Mccormick, Chambers and Craig",39119,Metal,Marthaberg,GA,2024-12-19,35.831029,-74.831074
Spencer Davis,Wiggins Inc,16396,Asphalt,New Kenneth,TX,2025-01-07,42.938518,-94.560524
Micheal Scott,Rivera and Sons,43835,TPO,East Amandabury,NJ,2024-04-06,25.844385,-86.604851
Scott George,Cox Group,30887,Foam,East Brianville,AS,2024-09-07,34.559966,-104.77525
Philip Wolf,Fritz PLC,2133,Metal,West Donaldchester,NE,2023-09-18,41.553975,-69.285983
Jacob Jimenez,"Grant, Thomas and Miller",36367,Asphalt,Vangberg,AL,2024-09-25,47.35354,-109.519987
Kimberly Johnson,Small-Gray,49314,Asphalt,New Tracytown,PR,2023-11-04,32.591205,-69.19519
Tracy Ross,Chan-Moore,40914,Asphalt,Lake Michaelfort,IA,2024-08-02,31.524281,-79.404367
Michele Black,Hudson and Sons,48636,Metal,Valdezmouth,AR,2024-10-09,28.461889,-110.70807
Laura Carter,Barnes-Jensen,9619,Asphalt,North Derrickberg,CO,2023-08-13,40.619564,-95.234855
Hannah Mckinney,Leonard and Sons,11828,Foam,Lake Danielview,VT,2025-02-08,30.420168,-85.869672
Lisa Bartlett,"Fox, Chavez and Steele",36082,TPO,Marshallberg,FM,2024-09-29,34.996503,-87.793838
Jonathan Stephens,Allen LLC,26920,TPO,New Michael,KS,2024-03-11,40.877257,-117.773144
Ashley Jackson,Blake-English,3206,TPO,Marshallmouth,AS,2024-02-10,26.226942,-88.946655
Tyler Collins,Anderson Ltd,27121,Asphalt,Lake Margaret,DC,2024-01-06,42.732016,-102.636294
Taylor Allen,Stanton and Sons,25235,Asphalt,North Anne,KY,2023-11-02,44.397144,-106.015267
Joseph Stafford,Clayton-Gibson,35749,Foam,Justinton,VA,2025-01-15,35.673697,-105.160163
Douglas Thomas,Kelley-Tucker,35173,Metal,Griffinside,ND,2023-05-25,46.672988,-110.09247
Michael Brown,"Hensley, Williams and Chambers",14280,Metal,Jenkinsbury,HI,2023-08-11,46.333077,-110.032522
Peter Harrison,Jones LLC,41599,Asphalt,Hilltown,MS,2024-07-30,25.710678,-93.973009
Pam Hicks,Larson and Sons,2074,Foam,Yvetteland,UT,2025-01-25,45.281744,-111.863968
Matthew Walker,Levine Ltd,9986,Metal,Huntfurt,OH,2023-11-26,44.568283,-104.645267
Toni Lawson,Mullen-Hill,47818,Foam,Michaeltown,VT,2025-01-07,38.464889,-91.178714
Carrie Clark,Barnes Group,42833,Foam,New Kimberly,FL,2024-06-25,35.567001,-95.135698
Amber Rivas,Roy Inc,44670,Metal,Stephenburgh,MA,2023-06-26,25.369443,-67.167444
Emily Morgan,"Richardson, Powell and Ryan",1416,Asphalt,New Markview,NY,2023-11-26,47.527135,-97.756566
Joanna Smith,"Drake, Dalton and Norton",43740,Asphalt,New Rachelland,MS,2023-11-29,28.687234,-105.652274
Christian Gentry,Terry-Austin,33090,Asphalt,Robertstad,KY,2023-11-11,33.858729,-121.757517
David Thompson,Nelson Group,10992,Asphalt,Ericmouth,WV,2025-01-27,27.933261,-74.545761
Jacqueline Blanchard,"Bennett, Fuller and Jones",44377,TPO,Danielstad,CA,2023-07-28,40.904469,-68.810751
Shelly Romero,"Lopez, Ellis and Jacobson",41524,Metal,North Timothyfurt,MN,2024-04-02,25.353346,-81.336648
Scott Williams,Olson-Flores,1149,Foam,Vazquezshire,VA,2023-11-16,38.329003,-97.332288
Mary Garrison,"Reed, Hardy and Matthews",28459,Asphalt,Mcdonaldmouth,MO,2024-02-16,47.803489,-105.116534
Joshua Davis,Woods Group,36478,Foam,Phillipside,MP,2024-03-24,45.665477,-116.867769
Charles May,"King, Davis and Reeves",37974,Metal,Port Sethview,IN,2025-02-11,47.745034,-111.422612
Kevin Shaw,Burke Ltd,25429,TPO,Joshuamouth,OR,2025-03-31,48.775008,-98.225089
Austin Peterson,Roy-Davis,15390,Foam,New Stephenshire,PW,2024-12-02,31.003964,-72.783926
Philip Hill,"Davis, Lawson and Wade",40508,Metal,Quinnhaven,CA,2024-10-02,40.785536,-110.187928
James Bates,King Group,43449,Foam,Mcmahonside,UT,2024-11-24,47.11481,-87.218917
Justin Price,Mccoy-Tyler,44251,Asphalt,Christopherton,MS,2024-07-19,48.209356,-114.315199
Edward Alexander,"Thomas, Roberson and Davis",42206,Metal,South Kellyberg,PW,2024-12-01,48.953632,-79.829938
Melissa Hill,Bonilla-Patterson,4031,TPO,New Matthewside,PA,2023-11-20,32.673253,-105.322788
Steven Ramirez,Richard-Morrow,18093,TPO,Hunterland,WI,2025-02-12,28.354997,-98.691147
Darrell Casey,Peters LLC,16244,Foam,Flowersshire,IL,2024-02-06,43.897208,-77.510708
Marissa Richardson,"Daniels, Hamilton and Ruiz",12852,Metal,New Annaville,PA,2023-11-05,45.924128,-100.967107
Michelle Crawford,Patterson-Miller,15061,TPO,Brownton,NH,2023-09-13,33.344877,-85.998212
Stephen Lang,Kelly-Rice,14366,Metal,Lake Jordanburgh,RI,2024-01-04,34.375882,-110.012735
Linda Hayes,Marshall-Morris,33120,Asphalt,New James,NV,2023-11-20,47.961276,-112.796965
Mary Nelson,Gonzalez Ltd,6632,Metal,Dominguezview,HI,2025-04-13,26.522106,-70.393122
Mark Mckay,Jackson Group,26156,TPO,East David,WA,2024-09-01,36.144993,-105.924309
Donald Odom,Young-Ray,37410,Foam,Gonzalezmouth,MD,2024-08-01,27.647759,-107.607495
Heidi Burton,Hernandez-Campos,27742,Metal,Port Michaela,CO,2023-05-01,26.543242,-103.083612
Bonnie Larson,Shaw-Jimenez,11950,Metal,East Christine,CA,2023-12-02,46.540772,-91.856446
Clifford Wilson,Camacho-Lee,28285,TPO,Russellport,WA,2023-12-17,30.902943,-119.791306
Christopher Peterson,"Gonzales, Powell and Wiggins",12115,Metal,South Heatherfort,VA,2024-06-18,44.539808,-96.999147
Kyle Burton,Murphy Inc,26886,Asphalt,Baxterside,DC,2024-01-26,42.227567,-118.867994
Jason Gray,Li Group,39736,Asphalt,New Vanessaberg,KY,2024-10-23,39.048411,-67.222074
Emily Parsons,Werner and Sons,49660,Metal,Thomastown,IA,2025-03-23,28.119824,-97.30746
Christopher Ortiz,Jordan Inc,17584,Foam,East Joyce,NH,2025-03-15,34.042109,-123.558669
Paula Davis,Frost-Jacobs,5541,Metal,Jonathanside,HI,2024-03-23,45.985664,-102.381024
Melanie Martinez,Gonzalez LLC,4515,Asphalt,Sharonport,AL,2023-12-08,35.563517,-86.548719
Lori Robinson,"Nelson, Dixon and Pruitt",41011,Metal,Douglasberg,OK,2024-11-05,27.440901,-108.017131
Pamela King,"Johnson, Flynn and Green",4442,TPO,Debbieborough,NV,2024-05-07,30.601191,-82.92935
Jenna Leon,"Graham, Crosby and Gray",39184,TPO,Eriktown,IN,2025-03-29,25.395992,-70.649725
Anthony Myers,Hurley Ltd,17372,Metal,Robertburgh,WV,2024-11-15,36.633146,-96.938357
Robert Ware,"Brown, Garcia and Wilcox",33119,Asphalt,New Amandaville,NC,2025-01-09,32.106331,-109.769305
Christine May,Roberson-Gilbert,25297,Metal,East Jill,RI,2024-01-06,38.323012,-112.668943
Keith Roach,Smith-Greene,34877,Asphalt,Rhodesview,MH,2024-12-27,41.81278,-114.01539
Michael Ford,Edwards-Johnson,24916,Asphalt,Port Jamie,MD,2025-01-30,39.078779,-117.732126
Sharon Miller,Ward Group,32551,TPO,Diazshire,NM,2024-08-27,29.50345,-87.401879
Zachary Torres,Carr Ltd,20394,Asphalt,Karentown,NV,2023-09-17,40.106146,-68.339342
Michael Wolf,Jackson and Sons,34751,Metal,North Christine,SC,2025-01-15,30.402126,-105.01839
